Personal Opinion: DOBBS V. JACKSON (Group A),Court Ruling: DOBBS V. JACKSON (Group A),Personal Opinion: DOBBS V. JACKSON (GROUP B),Court Ruling: DOBBS V. JACKSON (Group B),Personal Opinion: ROE V. WADE,Court Ruling: ROE V. WADE,Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Personal Opinion: CARSON V. MAKIN (Group A),Court Opinion: CARSON V. MAKIN (Group A),Personal Opinion: CARSON V. MAKIN (Group B),Court Opinion: CARSON V. MAKIN (Group B),Personal Opinion: U.S. V. ZUBAYDAH (GROUP A),Court Ruling: : U.S. V. ZUBAYDAH (GROUP A),Personal Opinion: U.S. V. ZUBAYDAH (GROUP B),Court Ruling: U.S. V. ZUBAYDAH (GROUP B),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Personal Opinion: RAMIREZ V. COLLIER (Group A),Court Ruling: RAMIREZ V. COLLIER (Group A),Personal Opinion: RAMIREZ V. COLLIER (Group B),Court Ruling: RAMIREZ V. COLLIER (Group B),Personal Opinion: SHURTLEFF V. BOSTON (Group A),Court Ruling: SHURTLEFF V. BOSTON (Group A),Personal Opinion: SHURTLEFF V. BOSTON (Group B),Court Ruling: SHURTLEFF V. BOSTON (Group B),"Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)",Personal Opinion: BIDEN V. MISSOURI (Group A),Court Opinion: BIDEN V. MISSOURI (Group A),Personal Opinion: BIDEN V. MISSOURI (Group B),Court Opinion: BIDEN V. MISSOURI (Group B),Personal Opinion: WEST VIRGINIA V. EPA (Group A),Court Ruling: WEST VIRGINIA V. EPA (Group A),Personal Opinion: WEST VIRGINIA V. EPA (Group B),Court Ruling: WEST VIRGINIA V. EPA (Group B),Personal Opinion: TRUMP V. THOMPSON (Group A),Court Ruling: TRUMP V. THOMPSON (Group A),Personal Opinion: TRUMP V. THOMPSON (Group B),Court Ruling: TRUMP V. THOMPSON (Group B),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Personal Opinion: BIDEN V. TEXAS (Group A),Court Ruling: BIDEN V. TEXAS (Group A),Personal Opinion: BIDEN V. TEXAS (Group B),Court Ruling: BIDEN V. TEXAS (Group B),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group A),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group A),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group B),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group B),Typical Court Votes,Justice Tenure,Last Say in Conflict of Meaning,Justice Selection,Current Chief Justice,Most Recent Justice,Republican Appointed Justices,Appointing President Partisanship Effects,How much do you approve of the performance of the Supreme Court?,Judges at odds with the people should be removed,U.S. Supreme Court is too independent,"If the U.S. Supreme Court started making a lot of decisions that most people disagree with, it might be better to do away with the Supreme Court altogether",The U.S. Supreme Court gets too mixed up in politics,The U.S. Supreme Court can be trusted to make right decisions,Respondent Ideology,Court Ideology,Increase Court Size,Limit Court Terms,Closeness to Ketanji Brown Jackson,Senate and Consideration to Nominees,Should Ketanji Brown Jackson be Approved,"Appropriateness of ""Shadow Docket"" Rulings",Political Interest,Most watched cable news network,Ideology - 3 categories,Ideology - 5 categories,Voter Registration Status,Voter Registration - 2 categories,Party ID - 3 categories,Party ID - 7 categories,2020 Turnout,2020 President Vote Post Election,Gender,Birth Year,Age,Age - 4 categories,Race,Race - 4 categories,Educational Attainment,Education - 4 categories,Marital Status,Children Under 18,State of Residence,Census Region,Area Type,Own or Rent Home,Employment status among non-students,Family income,Family Income - 3 categories,Military Household - I am,Military Household - Family,Military Household - I served previously,Military Household - Family served previously,Military Household - None,"Yes, I am","Yes, household member is",No,Volunteer Activities,Importance of Religion,Church Attendance,Born Again,Prayer Frequency,Affiliation,A/B Randomization,Questionnaire Start Time,Questionnaire End Time,Questionnaire Last Modified Time,Case ID,weight
.,.,1,1,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,3,1,2,3,5,3,4,3,3,3,3,3,3,3,50.0,63.0,3,3,3,1,1,1,2,2,2,3,2,2,1,2,2,6,2,2000.0,21.0,1,2,2,3,2,5,1,24,3,1,2,1,97,4,2,2,2,2,1,2,2,1,2,4,6,2,8,11,2,2022-03-30 21:01:30.483000,2022-03-30 21:15:48.977000,2022-03-30 21:15:48.807000,1769277589.0,1.02093861957762
.,.,1,2,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,2,2,2,2,4,5,6,1,2,4,3,4,2,3,26.0,86.0,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1948.0,73.0,4,1,1,5,3,4,2,9,1,3,2,1,6,2,2,2,2,1,2,2,2,1,2,1,3,2,3,5,2,2022-03-30 21:03:42.118000,2022-03-30 21:16:12.577000,2022-03-30 21:16:12.120000,1769279265.0,1.13627014665568
2,2,.,.,2,2,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,2,2,2,1,1,4,1,1,3,4,4,2,2,39.0,43.0,3,2,3,1,1,1,2,5,1,2,1,1,1,2,1,1,2,1986.0,36.0,2,1,1,5,3,1,1,20,2,4,1,1,8,2,2,2,2,2,1,2,2,1,2,2,4,2,3,2,1,2022-03-30 21:01:39.999000,2022-03-30 21:17:20.457000,2022-03-30 21:16:55.990000,1769277599.0,1.08737303485605
2,1,.,.,1,2,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,3,2,4,5,2,3,3,5,3,3,1,4,50.0,52.0,3,3,3,1,1,2,4,5,4,6,2,2,4,4,2,6,2,1997.0,25.0,1,6,4,2,1,5,2,42,1,4,3,1,97,4,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,2022-03-30 20:58:04.942000,2022-03-30 21:17:47.870000,2022-03-30 21:17:47.730000,1769274041.0,0.896219596842837
.,.,2,2,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,2,1,2,2,4,5,5,2,4,2,4,5,2,3,69.0,37.0,5,1,2,1,2,2,2,2,3,4,1,1,2,7,1,2,2,1964.0,57.0,3,1,1,2,1,1,2,1,3,4,1,7,12,3,2,2,2,1,2,2,2,1,2,2,6,2,2,11,2,2022-03-30 21:01:06.128000,2022-03-30 21:17:49.564000,2022-03-30 21:17:35.831000,1769276299.0,0.966699729756467
.,.,2,1,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,1,2,2,2,4,5,5,3,3,4,3,4,3,3,58.0,40.0,5,3,3,1,2,2,2,5,2,3,1,1,2,6,1,2,2,1949.0,73.0,4,1,1,3,2,1,2,12,3,2,1,5,97,4,2,2,2,1,2,2,2,1,2,2,5,2,3,1,2,2022-03-30 20:58:25.729000,2022-03-30 21:18:20.288000,2022-03-30 21:18:19.600000,1769274071.0,1.07519790218097
.,.,2,2,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,1,2,2,2,4,4,5,3,3,3,3,2,3,2,58.0,60.0,2,3,2,1,2,2,3,5,2,3,2,2,3,5,2,6,2,2003.0,18.0,1,1,1,2,1,5,2,37,3,2,3,.,8,2,2,2,2,2,1,2,2,1,1,2,1,2,6,3,2,2022-03-30 21:02:48.211000,2022-03-30 21:18:28.678000,2022-03-30 21:18:28.511000,1769279183.0,0.654016552455174
2,2,.,.,1,1,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,3,2,2,2,4,4,9,5,4,3,2,4,1,3,93.0,55.0,5,5,2,1,2,2,2,2,3,5,1,1,2,7,1,2,2,1949.0,72.0,4,1,1,5,3,1,2,47,3,4,1,5,12,3,2,2,2,2,1,2,2,1,2,1,6,1,1,1,1,2022-03-30 21:02:50.447000,2022-03-30 21:18:40.906000,2022-03-30 21:18:29.743000,1769279187.0,1.01147406057445
.,.,1,2,2,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,2,2,2,2,2,4,5,6,1,5,2,4,4,1,4,26.0,67.0,2,1,1,1,1,2,1,5,1,2,1,1,4,3,1,1,1,1966.0,56.0,3,1,1,6,4,3,2,27,2,4,1,.,1,1,2,2,2,2,1,2,2,1,2,2,5,2,2,12,2,2022-03-30 21:03:31.943000,2022-03-30 21:19:09.144000,2022-03-30 21:19:08.581000,1769279247.0,0.930571280312388
.,.,1,1,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,1,2,3,2,4,5,5,3,2,3,4,3,2,2,50.0,50.0,4,2,3,1,2,2,2,2,2,3,1,1,3,5,1,2,2,1961.0,60.0,3,1,1,5,3,3,2,55,2,1,2,3,2,1,2,2,2,1,2,2,2,1,2,2,5,2,3,2,2,2022-03-30 20:57:53.387000,2022-03-30 21:19:17.134000,2022-03-30 21:19:12.897000,1766977337.0,1.18340840087869
.,.,2,2,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,1,2,2,2,4,5,6,4,2,5,3,5,1,2,68.0,51.0,5,3,2,1,2,2,1,2,3,4,1,1,3,5,1,2,2,1966.0,55.0,3,1,1,5,3,1,2,26,2,2,2,1,10,3,2,2,2,2,1,2,1,2,2,1,4,2,1,12,2,2022-03-30 20:57:58.626000,2022-03-30 21:20:37.821000,2022-03-30 21:20:32.044000,1769274033.0,1.18340840087869
1,2,.,.,2,2,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,2,2,4,5,6,2,5,3,3,3,2,3,51.0,92.0,2,2,1,1,1,2,1,4,2,3,2,2,3,3,2,6,2,1951.0,71.0,4,1,1,2,1,3,2,40,3,4,1,5,2,1,2,2,2,1,2,2,2,1,2,2,5,2,2,12,1,2022-03-30 21:02:37.545000,2022-03-30 21:20:55.428000,2022-03-30 21:20:48.422000,1769270617.0,0.81841768570451
.,.,1,1,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,3,2,2,2,4,5,6,1,3,3,3,3,1,3,36.0,73.0,2,3,3,1,1,2,2,1,3,4,1,1,3,4,1,1,2,1949.0,72.0,4,2,2,3,2,1,2,37,3,1,1,7,97,4,2,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2022-03-30 20:57:17.582000,2022-03-30 21:21:24.442000,2022-03-30 21:21:10.345000,1769271805.0,0.668091179703078
.,.,1,2,2,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,2,2,2,2,4,5,6,2,4,1,1,2,1,5,5.0,91.0,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1959.0,62.0,3,1,1,6,4,1,2,36,1,4,1,3,6,2,2,2,2,1,2,2,2,1,1,4,6,2,5,11,2,2022-03-30 20:55:35.261000,2022-03-30 21:21:32.026000,2022-03-30 21:21:29.372000,1768971427.0,1.05054597135471
2,2,.,.,1,1,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,2,2,4,5,6,1,4,5,5,5,3,3,42.0,54.0,5,5,2,1,2,2,1,5,1,2,1,1,1,1,1,2,1,1964.0,57.0,3,1,1,6,4,1,2,26,2,2,1,1,11,3,2,2,2,1,2,2,2,1,2,2,4,1,8,12,1,2022-03-30 21:01:30.046000,2022-03-30 21:21:43.843000,2022-03-30 21:21:40.148000,1769277585.0,1.35694906470085
2,2,.,.,1,1,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,2,2,4,5,5,2,2,5,3,5,3,3,53.0,55.0,5,5,2,1,2,2,1,5,2,3,1,1,2,7,1,2,1,1960.0,61.0,3,1,1,5,3,5,2,29,2,2,1,3,97,4,2,2,2,2,1,2,2,1,2,2,2,2,3,2,1,2022-03-30 21:03:38.690000,2022-03-30 21:22:18.552000,2022-03-30 21:22:12.797000,1769279261.0,1.15139862624124
.,.,2,2,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,2,2,2,2,4,5,6,1,2,4,4,4,4,2,54.0,81.0,4,4,3,1,1,1,1,5,2,3,1,1,3,5,1,1,1,1948.0,73.0,4,1,1,6,4,1,2,12,3,2,1,5,7,2,2,2,1,2,1,2,2,1,2,1,4,1,2,1,2,2022-03-30 20:58:34.887000,2022-03-30 21:22:25.484000,2022-03-30 21:22:20.079000,1769274083.0,0.749369163094748
.,.,2,1,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,1,2,2,2,2,4,5,4,1,4,1,4,3,1,3,64.0,31.0,5,1,2,1,2,2,1,5,2,3,1,1,3,5,1,2,2,1959.0,62.0,3,1,1,4,2,1,2,12,3,4,1,7,8,2,2,2,2,1,2,2,2,1,1,1,4,1,1,1,2,2022-03-30 21:01:33.196000,2022-03-30 21:22:43.939000,2022-03-30 21:22:38.025000,1769277595.0,0.967787773603105
