Q1A,Q2A,Q1B,Q2B,Q3A,Q4A,Q3B,Q4B,Q5A,Q6A,Q5B,Q6B,Q7A,Q8A,Q7B,Q8B,Q9A,Q10A,Q9B,Q10B,Q11A,Q12A,Q11B,Q12B,Q13A,Q14A,Q13B,Q14B,Q15A,Q16A,Q15B,Q16B,Q17A,Q18A,Q17B,Q18B,Q19A,Q20A,Q19B,Q20B,Q21A,Q22A,Q21B,Q22B,Q23A,Q24A,Q23B,Q24B,Q41A,Q42A,Q41B,Q42B,Q43A,Q44A,Q43B,Q44B,Q38,Q25,Q26,Q27,Q28,Q29,Q39,Q40,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,newsint,cablenews,ideo3,ideo5,votereg,votereg2,pid3,pid7,turnout20post,presvote20post,gender,birthyr,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,acsownrent,employstat2,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,volunteer,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,rand_ab,starttime,endtime,lastmodified,caseid,weight
.,.,1,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,4,3,3,3,2,1,6,2,4,2,5,1,1,.,.,1,2,4,1,1,1,1,1,2,6,1,3,1,1988.0,33.0,2,1,1,5,3,1,1,36,1,1,1,.,9,2,2,2,2,2,1,2,1,2,2,1,1,1,1,6,2,2021-04-07 16:23:42.970000,2021-04-07 16:27:54.160000,2021-04-07 16:27:48.538000,1415649091.0,0.64902276737561
2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,3,3,1,3,4,3,10,4,1,1,3,1,1,.,.,3,1,1,1,3,5,1,1,1,1,1,2,2,1984.0,36.0,2,1,1,5,3,1,2,6,4,1,1,.,11,3,1,.,.,1,.,.,1,.,2,3,6,2,1,3,1,2021-04-07 16:23:21.488000,2021-04-07 16:27:55.388000,2021-04-07 16:27:50.971000,1415649051.0,0.781966057943742
.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,4,2,2,2,4,5,6,2,5,3,3,4,4,56.0,62.0,5,5,1,5,3,4,1,1,3,4,1,2,1,1960.0,60.0,3,1,1,6,4,1,2,1,3,3,1,1,14,3,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2021-04-07 16:19:00.685000,2021-04-07 16:28:10.858000,2021-04-07 16:28:06.239000,1414777681.0,0.963214016615009
1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,4,2,2,2,4,5,6,1,4,4,1,4,4,52.0,73.0,2,2,1,5,2,3,1,1,1,1,1,1,2,1952.0,68.0,4,1,1,5,3,4,2,12,3,2,1,5,8,2,2,2,2,1,2,1,2,2,1,2,5,2,3,1,1,2021-04-07 16:18:26.582000,2021-04-07 16:28:14.269000,2021-04-07 16:28:07.580000,1415578159.0,0.742836292125336
.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,3,2,1,3,2,4,5,1,2,2,2,3,1,70.0,66.0,3,3,1,2,1,1,1,1,1,1,1,1,2,1982.0,39.0,2,1,1,6,4,1,1,1,3,1,1,.,11,3,2,2,2,2,1,2,2,1,1,2,1,1,4,4,2,2021-04-07 16:19:04.723000,2021-04-07 16:29:27.290000,2021-04-07 16:28:58.002000,1415648529.0,0.857131743203841
1,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,2,2,1,4,8,4,2,5,3,1,4,.,.,5,3,2,1,1,1,1,1,1,2,2,6,2,1988.0,32.0,2,1,1,5,3,1,1,37,3,2,1,.,10,3,1,1,1,2,2,2,2,1,2,1,2,2,7,11,1,2021-04-07 16:25:16.091000,2021-04-07 16:29:51.005000,2021-04-07 16:29:47.475000,1415035939.0,1.0858058971563
2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,4,2,2,2,4,5,5,3,5,2,4,5,5,81.0,57.0,5,5,2,2,3,4,1,1,2,6,1,2,2,1951.0,69.0,4,1,1,3,2,1,2,40,3,2,1,3,6,2,.,.,.,1,.,2,2,1,1,1,2,1,1,1,1,2021-04-07 16:14:45.841000,2021-04-07 16:30:10.336000,2021-04-07 16:30:09.817000,1414952079.0,1.16796995771873
2,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,5,6,1,3,2,2,2,2,20.0,77.0,1,1,1,4,1,2,1,1,1,1,1,1,2,1943.0,78.0,4,1,1,3,2,3,2,12,3,2,2,3,97,4,.,.,.,.,1,.,.,1,1,2,3,2,2,5,1,2021-04-07 16:16:05.415000,2021-04-07 16:30:11.675000,2021-04-07 16:30:11.145000,1414953959.0,0.691467589384024
.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,4,2,2,2,5,5,7,1,4,4,1,5,5,8.0,84.0,1,1,1,5,4,6,1,1,4,4,1,6,1,1997.0,23.0,1,3,3,6,4,5,2,17,2,1,2,1,97,4,.,.,.,1,.,.,1,.,1,2,3,2,2,5,2,2021-04-07 16:20:04.604000,2021-04-07 16:30:28.930000,2021-04-07 16:30:28.790000,1415648655.0,1.59595324594962
2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,5,2,2,2,4,5,5,2,5,2,4,3,3,51.0,90.0,5,2,1,3,2,3,1,1,1,2,1,1,1,1948.0,73.0,4,1,1,4,2,1,2,6,4,2,1,5,6,2,.,.,.,.,1,.,.,1,1,2,5,2,6,1,1,2021-04-07 16:17:51.669000,2021-04-07 16:30:46.850000,2021-04-07 16:30:42.055000,1415238325.0,0.731252384287195
2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,4,2,2,2,4,5,5,5,5,1,5,5,5,94.0,53.0,4,4,2,5,3,4,1,1,2,7,1,2,2,1972.0,49.0,3,1,1,5,3,1,1,12,3,2,1,1,12,3,.,.,.,1,.,2,2,1,1,1,2,1,2,1,1,2021-04-07 16:17:57.819000,2021-04-07 16:31:01.826000,2021-04-07 16:31:01.187000,1415645337.0,0.79960293676205
2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,5,5,3,4,3,2,4,4,76.0,40.0,5,3,1,2,3,4,1,1,2,7,1,2,1,1964.0,56.0,3,1,1,2,1,5,2,42,1,2,1,1,8,2,.,.,.,1,.,.,.,1,2,4,6,2,7,9,1,2021-04-07 16:16:00.286000,2021-04-07 16:31:05.378000,2021-04-07 16:31:04.601000,1415642541.0,0.852401076511041
2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,3,1,2,3,3,4,7,1,4,2,2,1,4,28.0,64.0,2,1,2,5,2,3,1,1,3,4,2,6,2,1983.0,37.0,2,1,1,5,3,5,1,39,2,2,1,6,2,1,.,.,.,1,.,.,.,1,2,3,5,2,4,11,1,2021-04-07 16:21:52.166000,2021-04-07 16:31:54.319000,2021-04-07 16:31:51.145000,1414873855.0,1.1544319866858
1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,5,2,2,2,4,5,6,1,4,4,5,1,5,14.0,88.0,1,1,1,5,1,1,1,1,4,3,1,1,1,1994.0,26.0,1,1,1,5,3,1,2,6,4,1,2,1,1,1,.,.,.,.,1,.,.,1,2,4,6,2,6,10,1,2021-04-07 16:15:10.854000,2021-04-07 16:32:37.352000,2021-04-07 16:32:36.470000,1415642441.0,0.672567162252809
2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,2,2,4,5,5,2,4,3,2,3,2,99.0,51.0,5,4,1,5,3,5,1,1,2,7,1,2,2,1939.0,81.0,4,1,1,6,4,4,2,37,3,2,1,5,97,4,.,.,.,1,.,.,.,1,2,1,2,1,1,1,1,2021-04-07 16:19:05.610000,2021-04-07 16:32:41.461000,2021-04-07 16:32:36.827000,1414951401.0,0.986449548885887
2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,2,3,4,4,9,1,5,1,4,3,5,.,.,5,3,1,1,1,1,1,1,5,8,2,6,1,1984.0,37.0,2,1,1,5,3,1,1,32,4,1,1,.,9,2,1,1,2,2,2,2,1,2,2,1,5,2,1,6,1,2021-04-07 16:29:13.924000,2021-04-07 16:33:25.137000,2021-04-07 16:33:21.833000,1415665545.0,1.59966851381274
2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,4,2,2,2,4,5,7,3,4,4,2,5,2,17.0,77.0,1,1,1,3,1,2,1,1,1,1,1,1,1,1952.0,68.0,4,1,1,6,4,4,2,6,4,1,2,5,3,1,.,.,.,.,1,.,.,1,1,1,1,2,1,1,1,2021-04-07 16:18:07.621000,2021-04-07 16:33:32.008000,2021-04-07 16:33:31.287000,1414636279.0,0.73118427533749
1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,4,2,2,2,4,5,6,1,2,4,2,2,2,7.0,84.0,1,1,1,3,1,1,1,1,1,1,1,1,2,1960.0,60.0,3,1,1,5,3,1,2,6,4,4,1,3,13,3,.,.,.,1,.,.,.,1,2,4,5,2,6,11,1,2021-04-07 16:21:13.368000,2021-04-07 16:33:38.777000,2021-04-07 16:33:33.803000,1415364753.0,0.706007363651765
1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,4,2,2,2,4,5,6,1,4,5,1,2,1,1.0,100.0,1,2,1,5,1,1,1,1,3,4,1,4,1,1999.0,22.0,1,6,4,5,3,6,2,42,1,2,1,.,14,3,.,.,.,.,1,.,.,1,1,3,5,2,6,2,1,2021-04-07 16:23:03.938000,2021-04-07 16:33:40.121000,2021-04-07 16:33:40.027000,1414978399.0,1.39846545237316
1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,5,2,2,2,4,5,5,3,3,4,2,3,4,35.0,77.0,1,1,1,3,1,2,1,1,3,3,1,1,1,1956.0,65.0,4,7,4,5,3,1,2,39,2,2,1,3,8,2,.,.,.,.,1,1,2,2,1,3,5,2,2,12,1,2021-04-07 16:16:56.382000,2021-04-07 16:33:42.620000,2021-04-07 16:33:39.133000,1415035447.0,0.868437455311094
.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,4,1,1,2,2,1,6,3,2,3,3,3,2,65.0,86.0,2,1,2,5,2,3,1,1,1,1,1,1,2,1968.0,52.0,3,1,1,3,2,3,2,17,2,4,1,1,3,1,2,2,2,2,1,2,2,1,2,2,4,2,6,2,2,2021-04-07 16:21:54.563000,2021-04-07 16:33:47.233000,2021-04-07 16:33:41.184000,1415604281.0,0.656471694905742
2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,2,2,4,4,5,2,4,2,2,1,3,1.0,75.0,2,2,1,1,1,1,1,1,3,3,1,1,2,1958.0,62.0,3,1,1,3,2,1,2,41,4,4,1,5,8,2,.,.,.,1,.,.,1,.,2,2,3,1,1,1,1,2021-04-07 16:20:42.651000,2021-04-07 16:34:36.804000,2021-04-07 16:34:30.203000,1415439619.0,0.657185459308828
.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,5,2,2,2,4,5,6,3,5,2,3,5,5,99.0,60.0,5,5,1,5,3,5,1,1,2,7,1,2,1,1985.0,36.0,2,1,1,3,2,1,1,37,3,3,1,6,6,2,.,.,1,.,.,.,.,1,2,1,5,1,3,1,2,2021-04-07 16:24:10.349000,2021-04-07 16:34:52.227000,2021-04-07 16:34:49.321000,1415506635.0,0.74893891495198
.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,5,2,2,2,4,4,5,4,5,2,4,4,4,100.0,55.0,5,2,1,4,3,5,1,1,2,7,1,2,1,1951.0,70.0,4,1,1,6,4,1,2,32,4,2,1,5,10,3,.,.,.,1,.,.,.,1,1,2,4,2,6,5,2,2021-04-07 16:16:41.148000,2021-04-07 16:34:58.014000,2021-04-07 16:34:57.338000,1414899677.0,0.701277730171805
.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,4,2,2,3,4,5,6,1,5,5,4,3,5,50.0,50.0,5,1,1,5,2,3,1,1,3,3,1,1,2,1958.0,63.0,3,1,1,5,3,3,2,8,4,2,1,3,10,3,.,.,.,1,.,.,.,1,2,4,6,2,7,10,2,2021-04-07 16:18:05.252000,2021-04-07 16:35:06.427000,2021-04-07 16:35:02.375000,1415544067.0,0.706007363651765
2,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,5,2,2,2,4,5,6,1,3,3,1,3,3,0.0,76.0,2,2,1,3,1,1,1,1,1,1,1,1,2,1975.0,45.0,3,1,1,5,3,6,2,37,3,2,1,1,13,3,.,.,.,.,1,.,.,1,1,4,6,2,7,9,1,2021-04-07 16:23:38.769000,2021-04-07 16:35:12.579000,2021-04-07 16:35:09.036000,1415544189.0,0.650808093956641
1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,5,2,2,2,4,5,6,1,2,5,1,1,3,1.0,74.0,1,1,1,3,1,1,1,1,1,1,1,1,2,1939.0,81.0,4,1,1,4,2,1,2,6,4,3,1,5,5,1,.,.,.,1,.,.,.,1,2,4,6,2,7,9,1,2021-04-07 16:22:58.300000,2021-04-07 16:35:14.335000,2021-04-07 16:35:11.098000,1415599797.0,0.750115455485073
1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,5,2,2,2,4,5,5,2,5,2,5,5,4,3.0,66.0,4,2,1,5,1,1,1,1,1,1,1,1,2,1971.0,49.0,3,1,1,5,3,1,1,27,2,1,1,7,11,3,.,.,.,.,1,.,.,1,1,4,6,2,7,9,1,2021-04-07 16:27:05.081000,2021-04-07 16:35:20.172000,2021-04-07 16:35:16.729000,1415519323.0,0.705240574129336
.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,4,2,2,2,4,5,5,2,3,2,1,3,4,51.0,51.0,4,2,2,5,2,3,1,1,2,6,2,6,1,1983.0,37.0,2,7,4,6,4,1,1,17,2,2,2,.,12,3,2,2,2,2,1,2,2,1,1,1,2,1,3,2,2,2021-04-07 16:22:10.607000,2021-04-07 16:35:53.376000,2021-04-07 16:35:52.527000,1415630149.0,1.20558011738282
2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,3,2,1,3,2,5,9,2,2,2,3,.,2,100.0,67.0,3,3,2,2,3,5,1,1,2,7,1,2,2,1954.0,67.0,4,1,1,3,2,1,2,48,3,2,1,5,6,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2021-04-07 16:22:10.813000,2021-04-07 16:35:52.392000,2021-04-07 16:35:48.829000,1414952463.0,1.16796995771873
.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,.,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,5,2,2,2,4,5,6,3,5,3,4,5,5,100.0,51.0,5,5,1,5,3,5,1,1,4,4,1,2,1,1960.0,61.0,3,7,4,5,3,1,2,12,3,4,1,1,97,4,.,.,.,1,.,.,.,1,2,3,5,2,6,11,2,2021-04-07 16:21:49.834000,2021-04-07 16:35:56.246000,2021-04-07 16:35:55.593000,1415630307.0,0.981914411282064
.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,3,1,1,2,4,5,4,4,3,2,5,3,3,100.0,100.0,3,3,3,1,3,5,2,2,2,7,2,6,2,1956.0,65.0,4,1,1,4,2,3,2,45,3,1,2,5,2,1,2,2,2,2,1,2,2,1,2,1,3,1,1,1,2,2021-04-07 16:18:26.930000,2021-04-07 16:35:56.291000,2021-04-07 16:35:55.460000,1414897637.0,0.774434494928837
