Q1A,Q2A,Q1B,Q2B,Q3A,Q4A,Q3B,Q4B,Q5A,Q6A,Q5B,Q6B,Q7A,Q8A,Q7B,Q8B,Q9A,Q10A,Q9B,Q10B,Q11A,Q12A,Q11B,Q12B,Q13A,Q14A,Q13B,Q14B,Q15A,Q16A,Q15B,Q16B,Q17A,Q18A,Q17B,Q18B,Q19A,Q20A,Q19B,Q20B,Q21A,Q22A,Q21B,Q22B,Q23A,Q24A,Q23B,Q24B,Q25A,Q26A,Q25B,Q26B,Q27A,Q28A,Q27B,Q28B,Q29A,Q30A,Q29B,Q30B,Q31A,Q32A,Q31B,Q32B,Q33A,Q34A,Q33B,Q34B,Q35,Q36,Q37_1,Q37_2,Q37_3,Q37_4,pid3_pipe,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q49,Q50,Q51,Q52,pid3,pid7,newsint,cablenews,cablenews_t,votereg,turnout22post,housevote22post,votemethod22,turnout20,ideo5,gender,birthyr,country_of_birth,age,age4,race,race4,hispanic,speakspanish,educ,educ4,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,marstat,child18,ownrent,socialclass,faminc,income3,inputstate,region,urbancity,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,sexuality,student2,job,employstat2,employstat2_t,pid7_baseline,pid3_baseline,presvote20post,ideo3,starttime,endtime,rand_ab,weight
.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,1,1,1,3,1,2,1,3,2,2,2,2,4,2,5,3,5,2,5,3,1,5,25.0,89.0,4,1,1,1,1,3,__NA__,1,1,1,1,1,2,1,1957.0,840,66.0,4,2,2,2,4,6,4,3,6,2,6,1,3,2,2,3,8,2,34,1,3,2,2,2,1,2,2,2,1,.,3,.,5,__NA__,1,1,5,1,2024-03-18 19:54:44.531000,2024-03-18 20:05:48.518000,2,0.914988509664021
1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,3,3,3,3,1,4,1,1,2,2,4,2,3,3,2,4,4,4,4,4,50.0,60.0,4,2,1,1,2,1,__NA__,1,1,1,1,1,3,2,1965.0,840,58.0,3,2,2,2,4,3,2,1,1,2,1,12,5,2,1,4,8,2,18,2,2,2,2,2,2,1,1,2,2,.,3,.,1,__NA__,1,1,5,2,2024-03-18 19:54:44.788000,2024-03-18 20:19:18.070000,1,0.3854596832509823
2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,4,4,2,3,1,5,2,2,1,2,2,2,4,5,5,3,3,4,4,5,2,4,60.0,54.0,2,3,2,6,4,5,__NA__,2,2,6,.,1,3,1,2001.0,840,22.0,1,6,4,2,4,5,3,2,5,1,3,1,5,2,2,3,11,3,40,3,2,2,2,1,2,2,2,2,1,.,1,3,.,__NA__,4,2,2,2,2024-03-18 19:54:44.908000,2024-03-18 20:40:02.458000,1,2.525236724490255
.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,2,5,2,2,2,3,2,2,2,2,2,2,4,2,6,2,4,5,5,5,4,4,86.0,77.0,2,5,2,6,1,5,__NA__,1,1,2,2,1,4,1,1972.0,840,51.0,3,1,1,2,4,3,2,3,6,2,7,7,5,2,1,5,1,1,26,2,2,2,2,2,1,2,2,2,1,.,3,.,5,__NA__,4,2,2,3,2024-03-18 19:54:54.055000,2024-03-18 20:08:03.947000,2,0.767008639290677
.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,5,5,1,4,1,3,2,5,3,3,2,2,2,2,3,2,1,5,5,5,4,1,82.0,78.0,5,2,2,7,1,2,__NA__,1,1,2,3,1,5,2,1956.0,840,67.0,4,1,1,2,4,5,3,3,5,2,4,10,1,2,1,3,10,3,39,2,2,2,2,2,2,1,2,2,1,.,3,.,5,__NA__,3,2,2,3,2024-03-18 19:55:00.293000,2024-03-18 20:27:26.438000,2,1.36518645990845
2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,3,3,2,3,2,2,2,3,2,1,1,2,1,2,5,3,2,3,4,4,4,3,100.0,54.0,4,2,2,7,1,2,__NA__,2,2,6,1,1,5,2,1968.0,840,55.0,3,3,3,1,3,2,1,1,2,1,1,1,1,2,1,4,97,4,48,3,2,2,2,2,2,1,2,2,1,.,3,.,7,__NA__,3,2,2,3,2024-03-18 19:55:00.923000,2024-03-18 20:17:08.242000,1,1.309216296224782
1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,5,5,1,1,1,1,2,3,3,3,2,2,4,2,6,3,3,3,3,4,3,3,50.0,50.0,5,1,3,5,7,5,__NA__,1,1,2,2,1,3,1,1978.0,840,46.0,3,1,1,2,4,2,1,2,5,2,2,2,5,2,1,3,6,2,36,1,2,2,2,2,1,2,2,2,1,.,3,.,4,__NA__,6,3,2,2,2024-03-18 19:55:16.259000,2024-03-18 20:28:43.907000,1,0.5951887748734163
1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,1,1,2,1,2,1,3,2,2,2,2,5,2,6,1,5,1,1,2,1,3,41.0,94.0,5,1,1,2,2,5,__NA__,1,1,5,3,1,2,1,1992.0,840,31.0,2,4,4,2,4,6,4,1,4,2,2,7,1,1,1,3,12,3,6,4,2,2,2,2,2,1,2,2,1,.,3,.,1,__NA__,2,1,5,1,2024-03-18 19:55:16.923000,2024-03-18 21:07:04.491000,1,3.03586893179278
1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,3,3,1,2,1,3,.,.,5,1,3,2,4,3,9,3,3,3,3,3,3,3,50.0,50.0,3,3,3,4,4,5,__NA__,2,2,6,.,2,3,1,1996.0,840,27.0,1,1,1,2,4,2,1,1,2,2,1,7,5,2,1,3,3,1,29,2,2,2,2,2,2,1,2,2,1,.,3,.,6,__NA__,7,3,1,2,2024-03-18 19:55:20.529000,2024-03-19 03:27:44.934000,1,1.481720113362021
.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,1,1,3,3,3,3,2,3,2,1,2,1,3,4,7,3,3,3,3,3,3,3,50.0,52.0,3,3,2,6,3,3,__NA__,1,1,2,2,1,4,2,1984.0,840,40.0,2,1,1,2,4,4,2,1,2,1,4,10,5,2,1,4,2,1,1,3,4,2,2,2,2,1,2,2,1,.,3,.,2,__NA__,4,2,2,3,2024-03-18 19:55:24.551000,2024-03-18 20:09:18.980000,2,0.7901103774810202
1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,1,3,1,3,2,5,2,2,3,1,4,5,7,2,1,3,5,3,2,2,70.0,61.0,4,3,2,7,1,4,Podcasts,1,1,2,2,1,4,2,1957.0,840,66.0,4,1,1,2,4,3,2,1,6,2,1,12,4,2,2,4,11,3,6,4,2,2,2,2,1,2,2,2,1,.,3,.,1,__NA__,3,2,2,3,2024-03-18 22:10:20.006000,2024-03-18 22:25:51.654000,1,0.9723797061738632
